Time,Joint1,Joint2,Joint3,Joint4,Joint5,Joint6
13.5,-0.492579,-0.883813,2.171745,1.775377,0.0,0.0
13.6,-0.483374,-0.876828,2.138394,1.786601,0.0,0.0
13.7,-0.471645,-0.86946,2.10564,1.79775,0.0,0.0
13.8,-0.457752,-0.861921,2.07392,1.808667,0.0,0.0
13.9,-0.44203,-0.854421,2.043629,1.819204,0.0,0.0
14.0,-0.424785,-0.847162,2.015129,1.829217,0.0,0.0
14.1,-0.406303,-0.840333,1.988741,1.838572,0.0,0.0
14.2,-0.386843,-0.834106,1.964746,1.847116,0.0,0.0
14.3,-0.366647,-0.828643,1.943404,1.854755,0.0,0.0
14.4,-0.34594,-0.824083,1.924932,1.861384,0.0,0.0
14.5,-0.324932,-0.820546,1.909513,1.866917,0.0,0.0
14.6,-0.303824,-0.818131,1.897282,1.871264,0.0,0.0
14.7,-0.282806,-0.816923,1.88837,1.874447,0.0,0.0
14.8,-0.262064,-0.81697,1.88281,1.87635,0.0,0.0
14.9,-0.241777,-0.818308,1.880636,1.876992,0.0,0.0
15.0,-0.222126,-0.820944,1.881814,1.876345,0.0,0.0
15.1,-0.203288,-0.824868,1.886284,1.874437,0.0,0.0
15.2,-0.185442,-0.830046,1.893943,1.871311,0.0,0.0
15.3,-0.168768,-0.836423,1.904641,1.867004,0.0,0.0
15.4,-0.15345,-0.843924,1.918184,1.861545,0.0,0.0
15.5,-0.139675,-0.852468,1.934391,1.855116,0.0,0.0
15.6,-0.127632,-0.861952,1.953021,1.847826,0.0,0.0
15.7,-0.117512,-0.872259,1.973803,1.83979,0.0,0.0
15.8,-0.109505,-0.883261,1.996438,1.831137,0.0,0.0
15.9,-0.1038,-0.894822,2.020604,1.821992,0.0,0.0
16.0,-0.100577,-0.906797,2.045957,1.812499,0.0,0.0
16.1,-0.100002,-0.919037,2.072133,1.802797,0.0,0.0
16.2,-0.102222,-0.931389,2.098746,1.793029,0.0,0.0
16.3,-0.107348,-0.943699,2.125394,1.783337,0.0,0.0
16.4,-0.115451,-0.955813,2.151659,1.773864,0.0,0.0
16.5,-0.126543,-0.967583,2.177112,1.764753,0.0,0.0
16.6,-0.140561,-0.978863,2.201316,1.756146,0.0,0.0
16.7,-0.157358,-0.989518,2.223836,1.748181,0.0,0.0
16.8,-0.176686,-0.999423,2.244243,1.74099,0.0,0.0
16.9,-0.198192,-1.008463,2.262131,1.734696,0.0,0.0
17.0,-0.221419,-1.016537,2.27713,1.729415,0.0,0.0
17.1,-0.245818,-1.023557,2.288917,1.725239,0.0,0.0
17.2,-0.270767,-1.029451,2.297243,1.72224,0.0,0.0
17.3,-0.295606,-1.03416,2.301936,1.720468,0.0,0.0
17.4,-0.319676,-1.037642,2.302922,1.719941,0.0,0.0
17.5,-0.342356,-1.03987,2.300226,1.720668,0.0,0.0
17.6,-0.363101,-1.04084,2.293964,1.722594,0.0,0.0
17.7,-0.38147,-1.040569,2.284343,1.725656,0.0,0.0
17.8,-0.397137,-1.039098,2.271648,1.729767,0.0,0.0
