x,y,z
4.662273403552584794e-01,3.128329398022125507e-02,1.535117056856187268e-01
4.613446768158612765e-01,3.909345576076466572e-02,1.545150501672240828e-01
4.555559046868314366e-01,4.617656359713827319e-02,1.555183946488294111e-01
4.489657689700340404e-01,5.242953656777837174e-02,1.565217391304347672e-01
4.416904568241836748e-01,5.776401353550425499e-02,1.575250836120401232e-01
4.338555694137602448e-01,6.210758274223664166e-02,1.585284280936454793e-01
4.255939675416915424e-01,6.540473648320588307e-02,1.595317725752508353e-01
4.170435278138724944e-01,6.761753879907163312e-02,1.605351170568561636e-01
4.083448470945993392e-01,6.872599897601912311e-02,1.615384615384615197e-01
3.996389333896439577e-01,6.872814855617104257e-02,1.625418060200668757e-01
3.910649210389875452e-01,6.763982445174804292e-02,1.635451505016722318e-01
3.827578472257410769e-01,6.549416554574084837e-02,1.645484949832775878e-01
3.748465253330841573e-01,6.234083477143993052e-02,1.655518394648829161e-01
3.674515486386354390e-01,5.824498301884704216e-02,1.665551839464882722e-01
3.606834552658531590e-01,5.328597524866039714e-02,1.675585284280936282e-01
3.546410822636952287e-01,4.755590284121061911e-02,1.685618729096989843e-01
3.494101332149291972e-01,4.115790941256870783e-02,1.695652173913043403e-01
3.450619799427431800e-01,3.420436004517769801e-02,1.705685618729096686e-01
3.416527147624606187e-01,2.681488606655978157e-02,1.715719063545150247e-01
3.392224653821442337e-01,1.911433913701312409e-02,1.725752508361203807e-01
3.377949800673858971e-01,1.123068945536807514e-02,1.735785953177257368e-01
3.373774861279983384e-01,3.292903350480851608e-03,1.745819397993310929e-01
3.379608202341894962e-01,-4.571164605359790897e-03,1.755852842809364767e-01
3.395198246027371081e-01,-1.223683053710179769e-02,1.765886287625418050e-01
3.420139987829921568e-01,-1.958455811159796889e-02,1.775919732441471610e-01
3.453883926880922939e-01,-2.650182194374064992e-02,1.785953177257525171e-01
3.495747227238303889e-01,-3.288482852602227918e-02,1.795986622073578731e-01
3.544926894258181860e-01,-3.864006840030894535e-02,1.806020066889632292e-01
3.600514719779753792e-01,-4.368567644817474699e-02,1.816053511705685575e-01
3.661513723976056456e-01,-4.795258067669985053e-02,1.826086956521739135e-01
3.726855800719965917e-01,-5.138542365741417123e-02,1.836120401337792696e-01
3.795420257475460857e-01,-5.394324477031239851e-02,1.846153846153846256e-01
3.866052930248488617e-01,-5.559991554307235073e-02,1.856187290969899817e-01
3.937585549126795814e-01,-5.634432458665492027e-02,1.866220735785953100e-01
4.008855030417862175e-01,-5.618031284088008392e-02,1.876254180602006660e-01
4.078722377280144529e-01,-5.512636398671676152e-02,1.886287625418060221e-01
4.146090881866897337e-01,-5.321505888727788569e-02,1.896321070234113781e-01
4.209923338109193836e-01,-5.049230672140875287e-02,1.906354515050167342e-01
4.269257995020291352e-01,-4.701636901105565869e-02,1.916387959866220625e-01
4.323223005397187624e-01,-4.285669596027032874e-02,1.926421404682274185e-01
4.371049153551208599e-01,-3.809259736980896011e-02,1.936454849498327746e-01
4.412080677683818952e-01,-3.281177282375948023e-02,1.946488294314381307e-01
4.445784037154690282e-01,-2.710872782793561503e-02,1.956521739130434867e-01
4.471754511547197386e-01,-2.108310408640877084e-02,1.966555183946488150e-01
4.489720556475781943e-01,-1.483795311341297614e-02,1.976588628762541711e-01
4.499545879838809936e-01,-8.477982882505584461e-03,1.986622073578595271e-01
4.501229241034354622e-01,-2.107807211541383105e-03,1.996655518394648832e-01
4.494902013866841073e-01,4.169772922357540580e-03,2.006688963210702392e-01
